artists,frequency,rank_sum,ranking_score,rank,rank_sum_normalized,frequency_normalized
The Weavers,3,0.06738015607580825,1.6010702341137124,289.0,0.00027040229667160524,0.0017528483786152498
"Jessie Murph, Jelly Roll",3,0.06298062703342205,1.5944709405501332,290.0,0.0002452938365932715,0.0017528483786152498
Tom Petty and the Heartbreakers,2,0.09090909090909091,1.1363636363636362,291.0,0.0004046837879984073,0.0008764241893076249
"Earth, Wind & Fire",2,0.08608058608058608,1.129120879120879,292.0,0.0003771271291932184,0.0008764241893076249
Katy Perry,2,0.08333333333333333,1.125,293.0,0.00036144834056267994,0.0008764241893076249
Dj Agus Lima,2,0.07692307692307693,1.1153846153846154,294.0,0.0003248645004247569,0.0008764241893076249
Fetty Wap,2,0.07644110275689223,1.1146616541353382,295.0,0.0003221138357527326,0.0008764241893076249
"Eminem, Dem Jointz, Sly Pyper",2,0.07289002557544758,1.1093350383631713,296.0,0.0003018475575246825,0.0008764241893076249
"Eminem, Skylar Grey",2,0.06734006734006734,1.101010101010101,297.0,0.0002701735070872557,0.0008764241893076249
Daryl Hall & John Oates,2,0.06666666666666667,1.1,298.0,0.00026633035620407996,0.0008764241893076249
The Beatles,2,0.06605691056910569,1.0990853658536586,299.0,0.000262850429947058,0.0008764241893076249
Zac Brown Band,2,0.0625,1.09375,300.0,0.00024255086011442997,0.0008764241893076249
"21 Savage, Burna Boy, Metro Boomin",2,0.06020066889632107,1.0903010033444815,301.0,0.0002294283957171315,0.0008764241893076249
Kacey Musgraves,2,0.05654761904761904,1.0848214285714286,302.0,0.00020858015141492992,0.0008764241893076249
"Post Malone, ERNEST",2,0.05505952380952381,1.0825892857142858,303.0,0.00020008747424005497,0.0008764241893076249
Justin Timberlake,2,0.05498533724340176,1.0824780058651027,304.0,0.00019966408564189405,0.0008764241893076249
"Eminem, Ez Mil",2,0.05489092188599577,1.0823363828289936,305.0,0.0001991252497325568,0.0008764241893076249
"USHER, Pitbull",2,0.05266805266805267,1.0790020790020791,306.0,0.00018643915936234528,0.0008764241893076249
"Myke Towers, Bad Bunny",2,0.05103359173126615,1.0765503875968991,307.0,0.00017711116157314506,0.0008764241893076249
"Moneybagg Yo, Morgan Wallen",2,0.04957160342717258,1.074357405140759,308.0,0.0001687674787346714,0.0008764241893076249
Céline Dion,2,0.04957160342717258,1.074357405140759,308.0,0.0001687674787346714,0.0008764241893076249
"Beyoncé, Shaboozey",2,0.04876615746180964,1.0731492361927144,310.0,0.00016417073493056603,0.0008764241893076249
"Stromae, Pomme, Arcane",2,0.04777777777777778,1.0716666666666668,311.0,0.00015852997393099998,0.0008764241893076249
"Bad Bunny, Luar La L",2,0.046511627906976744,1.069767441860465,312.0,0.0001513039565146102,0.0008764241893076249
Kenny Chesney,2,0.046511627906976744,1.069767441860465,312.0,0.0001513039565146102,0.0008764241893076249
"Lil Baby, Travis Scott",2,0.04612937433722163,1.0691940615058324,314.0,0.00014912240517047105,0.0008764241893076249
"Don Toliver, Charlie Wilson, Cash Cobain",2,0.046049188906331764,1.0690737833594977,315.0,0.00014866478057680088,0.0008764241893076249
"Ariana Grande, Cynthia Erivo",2,0.046031746031746035,1.069047619047619,316.0,0.00014856523271247998,0.0008764241893076249
"Post Malone, Sierra Ferrell",2,0.04564102564102564,1.0684615384615386,317.0,0.00014633536055169225,0.0008764241893076249
Kesha,2,0.045454545454545456,1.0681818181818181,318.0,0.00014527110338404363,0.0008764241893076249
Don McLean,2,0.045454545454545456,1.0681818181818181,318.0,0.00014527110338404363,0.0008764241893076249
Gayla Peevey,2,0.04494949494949495,1.0674242424242424,320.0,0.0001423887402216618,0.0008764241893076249
Conan Gray,2,0.04464285714285714,1.0669642857142856,321.0,0.00014063873401592994,0.0008764241893076249
"Gwen Stefani, Blake Shelton",2,0.043498817966903074,1.0652482269503547,322.0,0.00013410961198928852,0.0008764241893076249
"Zach Bryan, John Moreland",2,0.043478260869565216,1.065217391304348,323.0,0.00013399229100950606,0.0008764241893076249
"Charli xcx, Troye Sivan",2,0.04257246376811594,1.0638586956521738,324.0,0.00012882283533784299,0.0008764241893076249
Lynyrd Skynyrd,2,0.0425531914893617,1.0638297872340425,325.0,0.000128712846919297,0.0008764241893076249
"KSI, Trippie Redd",2,0.04173913043478261,1.0626086956521739,326.0,0.00012406693611991305,0.0008764241893076249
Pentatonix,2,0.04083333333333333,1.06125,327.0,0.00011889748044824997,0.0008764241893076249
Miguel,2,0.04,1.06,328.0,0.00011414158123031998,0.0008764241893076249
"Kendrick Lamar, Wallie the Sensei, Roddy Ricch, Siete7x",1,0.1,0.65,329.0,0.00045656632492128003,0.0
"Mac Miller, SZA",1,0.06666666666666667,0.6,330.0,0.00026633035620407996,0.0
Ken Carson,1,0.058823529411764705,0.5882352941176471,331.0,0.00022156895180003292,0.0
"Toby Keith, Willie Nelson",1,0.05555555555555555,0.5833333333333334,332.0,0.00020291836663167997,0.0
"Kelsea Ballerini, Noah Kahan",1,0.05,0.575,333.0,0.00017121237184548,0.0
"J. Cole, Daylyt, Ab-Soul",1,0.04,0.56,334.0,0.00011414158123031998,0.0
"Charli xcx, Lorde",1,0.04,0.56,334.0,0.00011414158123031998,0.0
"J. Fred Coots, Bruce Springsteen",1,0.04,0.56,334.0,0.00011414158123031998,0.0
"A$AP Rocky, J. Cole",1,0.03333333333333333,0.55,337.0,7.609438748687998e-05,0.0
"Ariana Grande, Mariah Carey",1,0.03125,0.546875,338.0,6.4204639442055e-05,0.0
"beabadoobee, Laufey",1,0.03125,0.546875,338.0,6.4204639442055e-05,0.0
"Peso Pluma, Junior H, Oscar Maydon",1,0.03125,0.546875,338.0,6.4204639442055e-05,0.0
"J. Cole, Bas",1,0.030303030303030304,0.5454545454545454,341.0,5.880020851258908e-05,0.0
"The Kid LAROI, Jung Kook, Central Cee",1,0.030303030303030304,0.5454545454545454,341.0,5.880020851258908e-05,0.0
"Lil Uzi Vert, Big Time Rush",1,0.030303030303030304,0.5454545454545454,341.0,5.880020851258908e-05,0.0
"¥$, Kanye West, Ty Dolla $ign, North West",1,0.030303030303030304,0.5454545454545454,341.0,5.880020851258908e-05,0.0
"¥$, Kanye West, Ty Dolla $ign, Bump J",1,0.029411764705882353,0.5441176470588235,345.0,5.371368528485647e-05,0.0
"Yeat, Future",1,0.029411764705882353,0.5441176470588235,345.0,5.371368528485647e-05,0.0
"Rema, Selena Gomez",1,0.02857142857142857,0.5428571428571428,347.0,4.8917820527279984e-05,0.0
Rick James,1,0.02857142857142857,0.5428571428571428,347.0,4.8917820527279984e-05,0.0
Staredd,1,0.02857142857142857,0.5428571428571428,347.0,4.8917820527279984e-05,0.0
"21 Savage, Mariah the Scientist",1,0.02857142857142857,0.5428571428571428,347.0,4.8917820527279984e-05,0.0
Bonnie Tyler,1,0.027777777777777776,0.5416666666666666,351.0,4.4388392700679994e-05,0.0
Paul Russell,1,0.027777777777777776,0.5416666666666666,351.0,4.4388392700679994e-05,0.0
David Kushner,1,0.02702702702702703,0.5405405405405406,353.0,4.010379881065298e-05,0.0
leftovermax,1,0.02702702702702703,0.5405405405405406,353.0,4.010379881065298e-05,0.0
Harry Styles,1,0.02702702702702703,0.5405405405405406,353.0,4.010379881065298e-05,0.0
"Rihanna, Calvin Harris",1,0.02631578947368421,0.5394736842105263,356.0,3.604470986220631e-05,0.0
USHER,1,0.025,0.5375,357.0,2.8535395307580016e-05,0.0
blink-182,1,0.025,0.5375,357.0,2.8535395307580016e-05,0.0
"Future, Metro Boomin, J. Cole",1,0.025,0.5375,357.0,2.8535395307580016e-05,0.0
"USHER, Jeezy",1,0.024390243902439025,0.5365853658536586,360.0,2.505546905055806e-05,0.0
"Nicki Minaj, J. Cole",1,0.023809523809523808,0.5357142857142857,361.0,2.174125356767999e-05,0.0
"Peso Pluma, Junior H, Eslabon Armado",1,0.023809523809523808,0.5357142857142857,361.0,2.174125356767999e-05,0.0
Tory Lanez,1,0.023809523809523808,0.5357142857142857,361.0,2.174125356767999e-05,0.0
